"Reaction","Days","Subject"
249.56,0,"308"
258.7047,1,"308"
250.8006,2,"308"
321.4398,3,"308"
356.8519,4,"308"
414.6901,5,"308"
382.2038,6,"308"
290.1486,7,"308"
430.5853,8,"308"
466.3535,9,"308"
222.7339,0,"309"
205.2658,1,"309"
202.9778,2,"309"
204.707,3,"309"
207.7161,4,"309"
215.9618,5,"309"
213.6303,6,"309"
217.7272,7,"309"
224.2957,8,"309"
237.3142,9,"309"
199.0539,0,"310"
194.3322,1,"310"
234.32,2,"310"
232.8416,3,"310"
229.3074,4,"310"
220.4579,5,"310"
235.4208,6,"310"
255.7511,7,"310"
261.0125,8,"310"
247.5153,9,"310"
321.5426,0,"330"
300.4002,1,"330"
283.8565,2,"330"
285.133,3,"330"
285.7973,4,"330"
297.5855,5,"330"
280.2396,6,"330"
318.2613,7,"330"
305.3495,8,"330"
354.0487,9,"330"
287.6079,0,"331"
285,1,"331"
301.8206,2,"331"
320.1153,3,"331"
316.2773,4,"331"
293.3187,5,"331"
290.075,6,"331"
334.8177,7,"331"
293.7469,8,"331"
371.5811,9,"331"
234.8606,0,"332"
242.8118,1,"332"
272.9613,2,"332"
309.7688,3,"332"
317.4629,4,"332"
309.9976,5,"332"
454.1619,6,"332"
346.8311,7,"332"
330.3003,8,"332"
253.8644,9,"332"
283.8424,0,"333"
289.555,1,"333"
276.7693,2,"333"
299.8097,3,"333"
297.171,4,"333"
338.1665,5,"333"
332.0265,6,"333"
348.8399,7,"333"
333.36,8,"333"
362.0428,9,"333"
265.4731,0,"334"
276.2012,1,"334"
243.3647,2,"334"
254.6723,3,"334"
279.0244,4,"334"
284.1912,5,"334"
305.5248,6,"334"
331.5229,7,"334"
335.7469,8,"334"
377.299,9,"334"
241.6083,0,"335"
273.9472,1,"335"
254.4907,2,"335"
270.8021,3,"335"
251.4519,4,"335"
254.6362,5,"335"
245.4523,6,"335"
235.311,7,"335"
235.7541,8,"335"
237.2466,9,"335"
312.3666,0,"337"
313.8058,1,"337"
291.6112,2,"337"
346.1222,3,"337"
365.7324,4,"337"
391.8385,5,"337"
404.2601,6,"337"
416.6923,7,"337"
455.8643,8,"337"
458.9167,9,"337"
236.1032,0,"349"
230.3167,1,"349"
238.9256,2,"349"
254.922,3,"349"
250.7103,4,"349"
269.7744,5,"349"
281.5648,6,"349"
308.102,7,"349"
336.2806,8,"349"
351.6451,9,"349"
256.2968,0,"350"
243.4543,1,"350"
256.2046,2,"350"
255.5271,3,"350"
268.9165,4,"350"
329.7247,5,"350"
379.4445,6,"350"
362.9184,7,"350"
394.4872,8,"350"
389.0527,9,"350"
250.5265,0,"351"
300.0576,1,"351"
269.8939,2,"351"
280.5891,3,"351"
271.8274,4,"351"
304.6336,5,"351"
287.7466,6,"351"
266.5955,7,"351"
321.5418,8,"351"
347.5655,9,"351"
221.6771,0,"352"
298.1939,1,"352"
326.8785,2,"352"
346.8555,3,"352"
348.7402,4,"352"
352.8287,5,"352"
354.4266,6,"352"
360.4326,7,"352"
375.6406,8,"352"
388.5417,9,"352"
271.9235,0,"369"
268.4369,1,"369"
257.2424,2,"369"
277.6566,3,"369"
314.8222,4,"369"
317.2135,5,"369"
298.1353,6,"369"
348.1229,7,"369"
340.28,8,"369"
366.5131,9,"369"
225.264,0,"370"
234.5235,1,"370"
238.9008,2,"370"
240.473,3,"370"
267.5373,4,"370"
344.1937,5,"370"
281.1481,6,"370"
347.5855,7,"370"
365.163,8,"370"
372.2288,9,"370"
269.8804,0,"371"
272.4428,1,"371"
277.8989,2,"371"
281.7895,3,"371"
279.1705,4,"371"
284.512,5,"371"
259.2658,6,"371"
304.6306,7,"371"
350.7807,8,"371"
369.4692,9,"371"
269.4117,0,"372"
273.474,1,"372"
297.5968,2,"372"
310.6316,3,"372"
287.1726,4,"372"
329.6076,5,"372"
334.4818,6,"372"
343.2199,7,"372"
369.1417,8,"372"
364.1236,9,"372"
