song,year,artist,lyrics
northern-hymn,2011,demonaz,"gods of the mountains
sky, forest and seas
lands of fire, ice and the northern deeps
cold as a storm from the raging sea
soon their winds to rise
gods of the mountains
sky, forest and seas
lands of fire, ice and the northern deeps
cold as a storm from the raging sea
soon their winds to rise"
legends-of-fire-and-ice,2011,demonaz,"fiends of the gods to war we ride
over the black mountain far over ice
fields of war before us now ride by my side
ride by my side fire
warriors of the north hold your swords high
ride forth the stallions black all free under sky
you"
ode-to-battle,2011,demonaz,"cold is the winter
on its ground we ride
to the battlefield
under battlesky
warriors are we
to fight on this day
brothers at side
to the battle ride"
over-the-mountains,2011,demonaz,"over the mountains again
wandering above the plains
far up on my mountainside under the fiery lights
i call my world the mountains of fire
i am watching the flames
i call my world the mountains of fire and flames
fire and flames
upon the mountain i stand
horizon sights at my hand
watching all over the sky
at one with the burning light
i call my world the mountains of fire
i am throning my day
i call my world
the mountains of fire
bound to my fate
i call my world the mountains of fire
i am watching the flames
i call my world
the mountains of fire and flames
fire and flames
over the mountains
over the mountains
over the mountains
over the mountains
over the mountains
over the mountains
over the mountains
over the mountains"
all-the-lies,2013,echoterra,"somewhere in time there was a dream
a dream i felt deep inside
that no one could understand
where do i go now?
when will i find my way?
all the lies i've left behind
seem so far now from my mind
now i take i look inside, what's left of me
from the life that once was mine
i tried to heal the wounds of time
never really did believe the lies were real
from beyond i'm reminded of a memory
now its gone into the gray of the moment
where do i go now?
when will i find my way?
all the lies i've left behind
seem so far now from my mind
now i take i look inside, what's left of me
from the life that once was mine
i tried to heal the wounds of time
never really did believe the lies were real
where do i go now?
when will i find my way?
all the lies i've left behind
seem so far now from my mind
now i take i look inside, what's left of me
from the life that once was mine
i tried to heal the wounds of time
never really did believe the lies were real"
midnight-sun,2013,echoterra,"running hard through the snow
no idea where to go
is there someone there in front of me?
try so hard, still can't see
change the path, fight the urge
to give up, to let go
will someone come rescue me?
how did this come to be?
far away from a normal town
feel so lost, starting to drown
i know who's done this me
not the work of a mortal being
came so close in the dead of the night
didn't hear a whisper but felt the fright
lifted high above me
shadows were all that i could see
i don't know whom to trust
tell me where can i run?
to the left or to the right
there is nowhere to hide
i am just one of the many abducted
no one is sane
in the land of the midnight sun
still have so far to go
escaped their clutch; that i know
are they coming after me?
do i have a chance to flee?
a faint scream distantly
another caught and now is gone
why is no one helping us?
what's to become of us?
far away from a normal town
feel so lost, starting to drown
i know who's done this me
not the work of a mortal being
came so close in the dead of the night
didn't hear a whisper but felt the fright
lifted high above me
shadows were all that i could see
i don't know whom to trust
tell me where can i run?
to the left or to the right
there is nowhere to hide
i am just one of the many abducted
no one is sane
in the land of the midnight sun
i don't know who to trust
tell me where can i run?
to the left or to the right
there is nowhere to hide
i am just one of the many abducted
no one is sane
in the land of the midnight sun
i don't know where to rung
tell me who can i trust?
far ahead behind
there is nowhere to hide
i am just one of the one who were taken
no one is safe
in the land of the midnight sun
whoa are you now?
i don't know whom to trust
tell me where can i run?
to the left or to the right
there is nowhere to hide
i am just one of the many abducted
no one is sane
in the land of the midnight sun
i don't know where to rung
tell me who can i trust?
far ahead behind
there is nowhere to hide
i am just one of the one who were taken
no one is safe
in the land of the midnight sun"
welcome-my-friend-of-mysery,2013,echoterra,"i know the games they play
but it's not for me to say
they take the dreams away
and only the scars remain
i'll go another way
avoid the light of day
and take a chance
that will lead me back home once again
it all comes down to this
we must all coexist
welcome my friend of mysery
it's been so lons since we set on...
...our journey through eternity
and all of the worlds we left behind
time has been kind to you and me
no matter what comes we must carry on
flying on wings of destiny
through infinity and what lies beyond
a tempting melody beckons invitingly
draws me closer to the force
that keeps me earthbound
our past is swept away
vanished into thin air
they trapped us once again
now we take yet another futile spin
it all comes down to this
we must all coexist
welcome my friend of mysery
it's been so lons since we set on...
...our journey through eternity
and all of the worlds we left behind
time has been kind to you and me
no matter what comes we must carry on
flying on wings of destiny
through infinity and what lies beyond
just hold my hand
and don't ever let go
follow me to the other side
where so few go"
a-different-story,2013,echoterra,"nights i spend awake
waiting for the sign
days never ended
when will the time arrive?
far beyond my sight
hiding in the dark
a semblance of a feeling that was lost
but now is found
as i take a look around me
never did i feel so lonely
in the dream
the voice had told me
now it's time
for a different story
ever will i know
what lies inside my mind?
searching through my pride
i find no place to hide
blindly still i go
and leave the past behind
faithfully embrace the light
as i take a look around me
never did i feel so lonely
in the dream
the voice had told me
now it's time
for a different story"
the-ghost-within-me,2013,echoterra,"without you, without you
thenights are long, cold dark
without you, without you, i'm yearning
foryour sinful touch
far away we will find our own way
in decay we will fade into the light
i know you're always with me
together just you and me
i know you're right beside me
the ghost within me
i know you're always near me
forever we will always be
i feel deep inside of me
the ghost within my heart
without you, without you, i feel so empty inside
without you, without you, i walk into the endless
night
far away we will find our own way
in decay we will fade into the light
i know you're always with me
together just you and me
i know you're right beside me
the ghost within me
i know you're always near me
forever we will always be
i feel deep inside of me
the ghost within my heart
far away from the lives we used to know
all i ever wanted was to be with you"
memories-of-another-time,2013,echoterra,"as i look upon my life
there's a memory of a child
that i knew so long ago
in a distant point in time
we were once so young and free
that's where i still long to be
in the warmness of a love
that was yours and was mine
sometimes when alone
i still think of you
memories of another time
when we were young
and the world was ours
memories of another time
we stood as one
and we never faltered
running free under the sun
our days had just begun
carefree glances instead of words
not a worry in the world
hand in hand
we marched through time
from our childhood and beyond
every time i close my eyes
you are all that i see
sometimes when alone
i still think of you
memories of another time
when we were young
and the world was ours
memories of another time
we stood as one
and we never faltered
one step that's wrong can throw
your world into the unknown
one step that's wrong can throw
your world into the darkness
one voice unheard
turns to silence in the void
one wheel that turns is heard
in the calm before the storm
sometimes when alone
i still think of you
memories of another time
when we were young
and the world was ours
memories of another time
we stood as one
and we never faltered"
